Job ID,Major,Hard Skills,Soft Skills
1,accounting,"['business', 'finance', 'excel', 'tax', 'service', 'data', 'system', 'accounts payable', 'application', 'sales', 'forecasting', 'reconciliation', 'budgeting', 'balance sheet', 'accounts receivable', 'financial statements', 'track', 'xero', 'erp', 'remuneration']","['management', 'planning', 'operations', 'leadership', 'customer service', 'time management', 'data entry', 'verbal communication skills', 'problem solving', 'microsoft office']"
2,administration & office support,"['service', 'business', 'data', 'excel', 'application', 'sales', 'system', 'booking', 'finance', 'standard', 'remuneration', 'medical', 'myob', 'closing', 'accounts payable', 'security', 'act', 'databases', 'reconciliation', 'go']","['management', 'customer service', 'microsoft office', 'data entry', 'time management', 'meeting', 'filing', 'operations', 'verbal communication skills', 'written communication']"
3,"advertising, arts & media","['business', 'digital', 'sales', 'service', 'application', 'track', 'project management', 'digital media', 'go', 'data', 'publishing', 'journalism', 'mobile', 'business development', 'standard', 'analytics', 'account management', 'audio', 'landscape', 'material']","['management', 'social media', 'writing', 'communications', 'planning', 'research', 'editing', 'time management', 'leadership', 'creativity']"
4,healthcare & medical,"['service', 'registration', 'medical', 'nursing', 'application', 'business', 'remuneration', 'mental health', 'rehabilitation', 'working with children', 'standard', 'system', 'data', 'sales', 'surgery', 'act', 'career development', 'maternity', 'private hospital', 'medicine']","['management', 'leadership', 'customer service', 'research', 'planning', 'time management', 'teaching', 'operations', 'written communication', 'problem solving']"
5,it jobs,"['business', 'software development', 'data', 'java', 'testing', 'application', 'system', 'sql', 'javascript', 'service', 'security', 'web services', 'server', 'linux', 'aws', 'python', 'dotnet', 'c', 'software engineering', 'html']","['management', 'integration', 'problem solving', 'leadership', 'infrastructure', 'operations', 'writing', 'research', 'innovation', 'planning']"
6,marketing,"['business', 'digital', 'data', 'sales', 'digital marketing', 'service', 'analytics', 'application', 'track', 'crm', 'project management', 'excel', 'google analytics', 'email marketing', 'marketing strategies', 'marketing communications', 'copywriting', 'online marketing', 'material', 'public relations']","['management', 'social media', 'communications', 'planning', 'research', 'writing', 'leadership', 'innovation', 'time management', 'microsoft office']"
7,recruitment consultancy jobs,"['business', 'sales', 'service', 'finance', 'recruitment consultancy', 'scheme', 'digital', 'application', 'business development', 'track', 'supply chain', 'change management', 'procurement', 'data', 'resourcing', 'pharmaceutical', 'investment banking', 'networking', 'executive recruitment', 'acting']","['management', 'sourcing', 'customer service', 'consulting', 'planning', 'meeting', 'social media', 'leadership', 'operations', 'training and development']"
8,retail & consumer products,"['sales', 'service', 'business', 'merchandising', 'application', 'track', 'visual merchandising', 'customer experience', 'retail management', 'scheme', 'excel', 'trading', 'inventory', 'kpis', 'go', 'standard', 'data', 'career development', 'stock management', 'remuneration']","['customer service', 'management', 'leadership', 'retail sales', 'operations', 'training and development', 'planning', 'enthusiasm', 'meeting', 'problem solving']"
9,sales,"['sales', 'business', 'service', 'business development', 'track', 'account management', 'application', 'crm', 'vehicle', 'data', 'excel', 'remuneration', 'digital', 'scheme', 'system', 'closing', 'mobile', 'finance', 'automotive', 'go']","['management', 'customer service', 'negotiation', 'meeting', 'planning', 'time management', 'leadership', 'operations', 'research', 'innovation']"
10,sport & recreation,"['service', 'business', 'cpr', 'working with children', 'sales', 'application', 'sport', 'act', 'closing', 'standard', 'registration', 'track', 'functional training', 'outdoor education', 'excel', 'lead generation', 'data', 'go', 'remuneration', 'session']","['first aid', 'customer service', 'management', 'swimming', 'teaching', 'time management', 'leadership', 'operations', 'planning', 'social media']"
11,telecommunication,"['business', 'service', 'application', 'data', 'system', 'testing', 'security', 'sql', 'server', 'digital', 'javascript', 'project management', 'windows', 'java', 'aws', 'track', 'business requirements', 'software development', 'mobile', 'networking']","['management', 'infrastructure', 'integration', 'planning', 'leadership', 'operations', 'consulting', 'problem solving', 'customer service', 'communications']"
